,text,rating,date,category,source
23,"Supercell ruined it no one asked for level 16. it makes high ladder increadibly unfair, level 14 cards against level 16 cards is an almost unwinnable matchup. you removed skill even more from the game. a new level adds absolutely nothing but more pay to win.",1,2025-11-25 18:05:35,Play_Store_Updates,Google_Play
24,delete heroes and level 16 from the game. NO ONE ASKED FOR THESE.,1,2025-11-25 18:04:52,Play_Store_Updates,Google_Play
25,"Was always pay to win, most recent update made it way worse.",1,2025-11-25 18:04:14,Play_Store_Updates,Google_Play
26,game is still horrible,1,2025-11-25 18:03:51,Play_Store_Updates,Google_Play
27,Pay to win.,1,2025-11-25 18:03:35,Play_Store_Updates,Google_Play
28,lvl 16 killed the game,1,2025-11-25 18:03:30,Play_Store_Updates,Google_Play
29,Greedy Company. The latest update makes it very clear that this company is extremely greedy. Not one more cent I'm giving this vacuum.,1,2025-11-25 17:59:24,Play_Store_Updates,Google_Play
30,Just amazing 👏,5,2025-11-25 17:59:11,Play_Store_Updates,Google_Play
31,good,4,2025-11-25 17:58:58,Play_Store_Updates,Google_Play
32,"Developers are ignorant, i would suggest to listen to your community",1,2025-11-25 17:58:48,Play_Store_Updates,Google_Play
33,so many games are unwinable due to level diff,1,2025-11-25 17:57:34,Play_Store_Updates,Google_Play
34,good game but for the love of good stop making everything p2w,1,2025-11-25 17:57:30,Play_Store_Updates,Google_Play
35,what a disappointing update....,1,2025-11-25 17:57:13,Play_Store_Updates,Google_Play
36,super cell is making trash update before this hero update the game was skill baised but its pay to win,1,2025-11-25 17:55:21,Play_Store_Updates,Google_Play
37,bad visuals,2,2025-11-25 17:54:31,Play_Store_Updates,Google_Play
38,"Ok,this game used to be the best in my opinion but this game has gotten so pay to win just look at big clash influencers i'""ve seen jynxzi spend over 12 thousand dollars on the game but the games is still fun.",4,2025-11-25 17:54:15,Play_Store_Updates,Google_Play
39,i came back to the game and manage to upgrade one card to level 15 and reached 13380 but now im facing only level 16 and im level 14 only one card 15 and tower 14 as well no way to play even when you are skilled palyer,1,2025-11-25 17:53:54,Play_Store_Updates,Google_Play
40,this game is good,1,2025-11-25 17:50:07,Play_Store_Updates,Google_Play
41,Losing its identity. Every major update puts it into moba like category. New features are just an excuse for another cash garb.,1,2025-11-25 17:46:01,Play_Store_Updates,Google_Play
42,cash grab,1,2025-11-25 17:44:45,Play_Store_Updates,Google_Play
43,best game in the world,5,2025-11-25 17:43:46,Play_Store_Updates,Google_Play
44,not working 😭 in updated,1,2025-11-25 17:42:38,Play_Store_Updates,Google_Play
45,"bad game, as is pay to win . players should have same level on cards when they play 1v1 even in trophie road. nerf knight. nerf royale chef",1,2025-11-25 17:42:17,Play_Store_Updates,Google_Play
46,I used to be able to build any deck in casuall 1v1 or 2v2 but now I can't. now I have to play trophy rode wich a hate because I can't seem to build working decks anymore because im the only guy without evos. seriously what happened iv been on a lose streak so long I shouldn't be in the arena im in anymore,1,2025-11-25 17:41:25,Play_Store_Updates,Google_Play
47,It's fun,4,2025-11-25 17:40:16,Play_Store_Updates,Google_Play
48,wow 👍 nice,5,2025-11-25 17:39:17,Play_Store_Updates,Google_Play
49,Pos devs,1,2025-11-25 17:37:13,Play_Store_Updates,Google_Play
50,"horrible greed...literally just constantly spitting in the faces of f2p/low spenders every new update, don't bother unless you want to constantly face people with higher leveled cards(and now broken evolutions) and be at a big disadvantage just because you dont spend as much. ...aand now they're using ai to produce op slop for more money, what a joke!",1,2025-11-25 17:37:06,Play_Store_Updates,Google_Play
51,"Awesome game but lot of bugs and by now, can we get some newer better features like voice chat / regular chat with teammates or team rematch against opponents. Please consider these upgrades",4,2025-11-25 17:36:29,Play_Store_Updates,Google_Play
52,garbage,1,2025-11-25 17:36:15,Play_Store_Updates,Google_Play
53,"level 16, really?",1,2025-11-25 17:35:32,Play_Store_Updates,Google_Play
54,very coll game MEGA KNIGHT,5,2025-11-25 17:35:05,Play_Store_Updates,Google_Play
55,"this game has fallen in f2p playability at an all time low (u can say the same thing every game changing update) with the level 16 update, you basically killed f2p progression when you nerfed chests and took out books. Heroes is another thing ruining the game, being a no cycle stupid good card alongside evos, I can only imagine how horrible the f2p players will earn heroes.",1,2025-11-25 17:31:32,Play_Store_Updates,Google_Play
56,for the first cupel of arenas it was fun but then it turned into a pay to win.,2,2025-11-25 17:29:01,Play_Store_Updates,Google_Play
57,I HATE MEGAKNIGHT,1,2025-11-25 17:27:40,Play_Store_Updates,Google_Play
58,great game,5,2025-11-25 17:24:23,Play_Store_Updates,Google_Play
59,Nivel 16 supercell?,1,2025-11-25 17:22:49,Play_Store_Updates,Google_Play
60,"I love going up against over leveled p2w mega knight... I literally can't counter them!! Inferno tower, THE hard counter to mk just dies to over leveled mk no matter what???",2,2025-11-25 17:22:32,Play_Store_Updates,Google_Play
61,"If I could give less than 1 star, I would",1,2025-11-25 17:22:18,Play_Store_Updates,Google_Play
62,"The game is good. But I can't ever recommend it. every update it becomes... worse, and then they spent 2 updates trying to fix it. also they stole my books",2,2025-11-25 17:21:56,Play_Store_Updates,Google_Play
63,good,5,2025-11-25 17:21:49,Play_Store_Updates,Google_Play
64,"Congrats ,the game is now fully pay to win. absolutely unfair advantage for those willing to spend money on the game ,have played it for almost 9 years and I pretty much see the end of it in the near future. Clash Royale used to be omnipresent in meme culture ,which always added to the relevance of the game. Now most players are disgusted ,as they should be. Ruined a game that always brought fun.",2,2025-11-25 17:21:30,Play_Store_Updates,Google_Play
65,Best game in the world (i dunno why people are hating the launch of heros),5,2025-11-25 17:16:22,Play_Store_Updates,Google_Play
66,"I have spent years leveling up all my cards to level 15 to find out level 15 was rolled back in the most recent update, all my cards are no longer level appropriate for my ladder location (completely useless) as compensation supercell graciously gave me a small handful of gems not even enough to upgrade a single card to level 15, all my book items were converted into normal wild cards????? why (abandoning the game)",1,2025-11-25 17:14:58,Play_Store_Updates,Google_Play
67,pay to win we didn't need lvl 16 or 15 this game is trash now,1,2025-11-25 17:13:27,Play_Store_Updates,Google_Play
68,"Fun, but may not be in a year. EWC to gem conversion is a scam and Supercell doesn't seem to be improving their game",2,2025-11-25 17:13:06,Play_Store_Updates,Google_Play
69,16 lvl. impossible to play without donate in high trophy,1,2025-11-25 17:12:45,Play_Store_Updates,Google_Play
70,i hope this game dies supercell biggest money grabber,1,2025-11-25 17:12:41,Play_Store_Updates,Google_Play
71,After the last update the game is trash,1,2025-11-25 17:11:57,Play_Store_Updates,Google_Play
72,this game is really fun but I only have one problem it's the pay to win players it's making it difficult for the free playing players,5,2025-11-25 17:10:48,Play_Store_Updates,Google_Play
73,$uper$ell,1,2025-11-25 17:10:22,Play_Store_Updates,Google_Play
74,p2w game.,1,2025-11-25 17:10:18,Play_Store_Updates,Google_Play
75,OG GAME!,5,2025-11-25 17:07:24,Play_Store_Updates,Google_Play
76,pay to win,1,2025-11-25 17:06:00,Play_Store_Updates,Google_Play
77,great to play even when you vs people who pay to win because at any moment the game can change from one mistake,5,2025-11-25 17:05:20,Play_Store_Updates,Google_Play
78,new update👎 keeps crashing everytime i watch tv royale,5,2025-11-25 17:00:47,Play_Store_Updates,Google_Play
79,"Very bad update more of downgrades, not f2w friendly at all, you must pay to win (a lot)",2,2025-11-25 16:59:47,Play_Store_Updates,Google_Play
80,perfect 👌🏻🤌,5,2025-11-25 16:59:08,Play_Store_Updates,Google_Play
81,after last update lost interest in play... also stop making too many adjustment / cards in single update..feels like a different game and its not engaging like earlier,3,2025-11-25 16:55:34,Play_Store_Updates,Google_Play
82,it is such a p2w game,1,2025-11-25 16:55:32,Play_Store_Updates,Google_Play
83,worst p2w,1,2025-11-25 16:53:39,Play_Store_Updates,Google_Play
84,"terrible update, nice job devs. Making 10x the money from the beginning of the year and still being greedy",1,2025-11-25 16:51:32,Play_Store_Updates,Google_Play
85,The game is for sure amazing but after yesterday's update I can't check the battle logs anymore,5,2025-11-25 16:48:18,Play_Store_Updates,Google_Play
86,the best game,5,2025-11-25 16:46:46,Play_Store_Updates,Google_Play
87,very interesting,5,2025-11-25 16:45:15,Play_Store_Updates,Google_Play
88,this game has been declining steadily now this Quarter 4 update takes the cake now everybody can reach level 15 easily while we used to grind so hard back then just to have an elite level honestly such a disappointment and fall off,1,2025-11-25 16:41:50,Play_Store_Updates,Google_Play
89,Just amazing,5,2025-11-25 16:41:02,Play_Store_Updates,Google_Play
90,ah absolute pay to win. but l like it,3,2025-11-25 16:40:39,Play_Store_Updates,Google_Play
91,it's fun!!!,5,2025-11-25 16:38:38,Play_Store_Updates,Google_Play
92,"New update is an epithome of greed, which really sucks because I came back to game before it and was havinf a lot of fun.",2,2025-11-25 16:37:56,Play_Store_Updates,Google_Play
93,Amusing and strategic. it does require skills.,5,2025-11-25 16:36:11,Play_Store_Updates,Google_Play
94,L game L update,1,2025-11-25 16:35:48,Play_Store_Updates,Google_Play
95,level 16 is a disgrace and these new hero cards are bs,1,2025-11-25 16:31:59,Play_Store_Updates,Google_Play
96,The game was good earlier but now it's so bad and I had so many things to complain about but I don't want to waste anymore time on this game.,1,2025-11-25 16:30:05,Play_Store_Updates,Google_Play
97,remove level 16,1,2025-11-25 16:29:20,Play_Store_Updates,Google_Play
98,really good need to make an account though otherwise you will be logged out but fun dont like the updates but fun to play with mates,4,2025-11-25 16:28:16,Play_Store_Updates,Google_Play
99,It's a good game by a greedy and immoral company. I want to play but supercell is shameless. I cannot recommend a game like this with a good conscience.,1,2025-11-25 16:27:20,Play_Store_Updates,Google_Play
100,Screw you super cell for adding level 16,1,2025-11-25 16:23:05,Play_Store_Updates,Google_Play
101,please fix the bug in replay. when I try to watch my replay I'm forced out of the game,4,2025-11-25 16:22:22,Play_Store_Updates,Google_Play
102,"cannot watch replay, kept crashing",3,2025-11-25 16:22:08,Play_Store_Updates,Google_Play
103,level 16 feels like a buckshot to the head,1,2025-11-25 16:19:41,Play_Store_Updates,Google_Play
104,DO NOT PLAY THISIT WILL RUIN YOUR LIFE!!!!!!,1,2025-11-25 16:18:22,Play_Store_Updates,Google_Play
105,The new update just made the game more pay to win and unplayable.Supercell shows yet again they don't care about the players that don't spend lots of money on their game.,1,2025-11-25 16:17:53,Play_Store_Updates,Google_Play
106,یعنی واقعا برینم به آپدیت امروز ک کتاب ارتقا هارو حذف کردین و کل کتابای ک خریده بودم از لجندری تا حماسی همه پرید تفف,1,2025-11-25 16:17:08,Play_Store_Updates,Google_Play
107,"The games gone, supercell is a never ending pit of greed and gluttony it took me months and months to upgrade my deck but as i reach the final steps they release level 16 and remove book. Make it easier to level up, they said, use gems to upgrade, they said. It's just a way to make people buy gems and make the game more pay to win.the heroes on my god. The very fundmental of those cards are broken and never seen before. I have learned my lesson expectations lead to disappointment with supercell.",1,2025-11-25 16:16:11,Play_Store_Updates,Google_Play
108,update is very slow,1,2025-11-25 16:15:09,Play_Store_Updates,Google_Play
109,worst update oat,1,2025-11-25 16:15:08,Play_Store_Updates,Google_Play
110,"thanks supercell, introducing lvl 16 was such a bad call, especially since alot of new players are coming back. y'all are just greedy for money. don't think anyone would like to come back again",1,2025-11-25 16:14:20,Play_Store_Updates,Google_Play
111,games gone. level 16 🤡🤡🤡 ptw cash grabbing company .,1,2025-11-25 16:13:44,Play_Store_Updates,Google_Play
112,you are making the game thrasher day by day with last update you made it the absolute trashy game firstly you shouldn't add level 16 secondly all the new cards are bad,2,2025-11-25 16:12:57,Play_Store_Updates,Google_Play
113,good pay to win,5,2025-11-25 16:12:53,Play_Store_Updates,Google_Play
114,mega knight ♥️♥️♥️♥️♥️♥️♥️♥️,5,2025-11-25 16:12:51,Play_Store_Updates,Google_Play
115,This is a really fun game and I love it how the Devs update and add new features very often.,5,2025-11-25 16:10:43,Play_Store_Updates,Google_Play
116,"unbelievable amount of greed from supercell, they think adding levels is cool like adding town halls in coc, can't play now thanks",1,2025-11-25 16:10:19,Play_Store_Updates,Google_Play
117,end of an era,1,2025-11-25 16:09:36,Play_Store_Updates,Google_Play
118,"Greedy company, p2w game, neglected player base",1,2025-11-25 16:08:59,Play_Store_Updates,Google_Play
119,it was veryyyy good,5,2025-11-25 16:08:23,Play_Store_Updates,Google_Play
120,level 16 and hero evolution? are you serious?,1,2025-11-25 16:07:15,Play_Store_Updates,Google_Play
121,had more than 7 years playing this and it's been going downhill from here the game fell off and after the new update coming it just uninstall the game at this point,1,2025-11-25 16:06:12,Play_Store_Updates,Google_Play
122,"Complete downfall, was a really good game, got worse with champions, got worse with different tower cards, got really bad with evos, and im not even gonna try the heroes.",1,2025-11-25 16:04:56,Play_Store_Updates,Google_Play
123,take a serious penalty to player who leaves teammates in 2v2.... your system is suck..add report button for stupid teammates in 2v2... you updated the game and still not do any report button....L developer,1,2025-11-25 16:03:56,Play_Store_Updates,Google_Play
124,Infinite elixir theory,1,2025-11-25 16:03:21,Play_Store_Updates,Google_Play
125,"Worst f2p experience in a while. Every update devs lower in game progression making it impossible to be competitive while remaining f2p, it is effectively p2w",1,2025-11-25 15:57:44,Play_Store_Updates,Google_Play
126,خیلی خوبه,5,2025-11-25 15:55:43,Play_Store_Updates,Google_Play
127,"P2W, devs doesn't even play their own games",1,2025-11-25 15:52:51,Play_Store_Updates,Google_Play
128,played this game since last year and this game opened my mind on how strategy games was meant for me cos ive been playing other genre of games but i seem to excel in games like these so im very thankful to listen to my friend and download this masterpiece of a game,5,2025-11-25 15:49:46,Play_Store_Updates,Google_Play
129,"I have a supercell ID i try to log in with it and it keeps restarting and asking me to log in again, not able to play at all. very disappointing",1,2025-11-25 15:48:57,Play_Store_Updates,Google_Play
130,Solid,5,2025-11-25 15:48:35,Play_Store_Updates,Google_Play
131,Where is my hero,5,2025-11-25 15:45:58,Play_Store_Updates,Google_Play
132,"they should change this game name to ""Pay to win""",1,2025-11-25 15:45:28,Play_Store_Updates,Google_Play
133,this made me shed a white tear. this is the best game i have ever played. clash royale all the sigma way.,5,2025-11-25 15:43:27,Play_Store_Updates,Google_Play
134,great game but the devs need to listen to the community more,5,2025-11-25 15:42:33,Play_Store_Updates,Google_Play
135,one of the best games i played but p2w is too much the higher card you have is lvl 12 and you play against a lvl 15 mk plus lvl 16 now bring season shop,5,2025-11-25 15:39:43,Play_Store_Updates,Google_Play
136,"The gr33diest pigs ever. every time you catch up to the pay to wins, they bring out broken paid mechanics. welcome to level 16 where f2p are now 2 levels and several evolutions down with 0 chances.",1,2025-11-25 15:38:12,Play_Store_Updates,Google_Play
137,I see your fixes. Thank you.,5,2025-11-25 15:37:44,Play_Store_Updates,Google_Play
138,LEVEL 16 EVO MEGAKNIGHT????!?!?!,5,2025-11-25 15:36:17,Play_Store_Updates,Google_Play
139,this game suck I've been stuck in 2300 I have good decks failed can't go island pls read before u play hated the game for rage,1,2025-11-25 15:35:43,Play_Store_Updates,Google_Play
140,"this game is absolute fun, the game needs focus and strategy to level up to bigger arenas and level up your cards to make them stronger, the only issues with this game that it is pay to win like you NEED TO PAY so you can level up to better arenas over that, the updates are TRASH and getting more pay to win. Now , the game is already on level 16 and pay to win players will over take the game. I hope on future updates help f2p players as the game will lose its audience.",3,2025-11-25 15:34:12,Play_Store_Updates,Google_Play
141,"give us back the season shop, and undo the level 16/heroes update. genuinely become unplayable",1,2025-11-25 15:32:34,Play_Store_Updates,Google_Play
142,"Hab es fast von Anfang an gespielt und lange sehr gut gefunden. Aus Free 2 play wurde allerdings in den letzten Jahren ausschließlich pay 2 win. Keine Ahnung wie man so ein nices Spiel mit jedem Update so viel schlechter machen kann, dass inzwischen niemand in meinem Bekanntenkreis inklusive mir mehr das Spiel so feiert wie früher, aber Supercell hats geschafft. Vielen dank dafür ihr geldgeilen Säcke!",3,2025-11-25 15:27:38,Play_Store_Updates,Google_Play
143,even more pay to win trash,1,2025-11-25 15:23:24,Play_Store_Updates,Google_Play
144,constantly removing f2p features,1,2025-11-25 15:22:38,Play_Store_Updates,Google_Play
145,Best game,5,2025-11-25 15:19:15,Play_Store_Updates,Google_Play
146,Good,5,2025-11-25 15:18:56,Play_Store_Updates,Google_Play
147,"Third edit to tell on how BAD the game went downhill. HEROIC CARDS? Basically combine evos and champions and make them ZERO CYCLES. Supercell, weren't the evolutions enough? Plus, no more magic books, so leveling up cards is basically gonna take even more longer",1,2025-11-25 15:18:48,Play_Store_Updates,Google_Play
148,they removed chests from shop. and now the only f2p options in shop are daily cards and some useless emotes. screw this game👎,1,2025-11-25 15:18:21,Play_Store_Updates,Google_Play
149,"The new update is really disappointing.Matchmaking feels broken, the balance changes don’t make sense, progression is harder, and the overall gameplay doesn’t feel enjoyable anymore .zero Star",1,2025-11-25 15:18:00,Play_Store_Updates,Google_Play
150,"Prince needs an evo, Evo witch is garbage",5,2025-11-25 15:17:58,Play_Store_Updates,Google_Play
151,I like it and I want the golden knight to evolution and gobblin machine and boss bandit,5,2025-11-25 15:16:41,Play_Store_Updates,Google_Play
152,Some of the greediest money grubbing devs in the industry.,1,2025-11-25 15:09:37,Play_Store_Updates,Google_Play
153,Supercell ID gets hacked and I lost all game progress. No point of contact nothing for recovery had all 2FA enabled and everything. Now lost everything,1,2025-11-25 15:09:02,Play_Store_Updates,Google_Play
154,"I have been playing this game for the last 9 years , but I still like to play compared to other games.",5,2025-11-25 15:07:35,Play_Store_Updates,Google_Play
155,it is competitive but it is also fun and challenging,5,2025-11-25 15:03:45,Play_Store_Updates,Google_Play
156,how is clash of clans only 400mb but clash royal is 1.1 GB????,1,2025-11-25 15:01:32,Play_Store_Updates,Google_Play
157,I love the game the Mechanic's but this game is only good if you're going on a win streak,4,2025-11-25 15:01:12,Play_Store_Updates,Google_Play
158,Congrats you just killed the game,1,2025-11-25 14:57:23,Play_Store_Updates,Google_Play
159,"This game use to be balanced and enjoyable. It is now not worth your time. Everything is broken, from the balance to the progression passing by the free to play experience. And considering the direction this studio is taking for all those years, it won't get any better. Just run away from the games of this studio ...",1,2025-11-25 14:56:45,Play_Store_Updates,Google_Play
160,P2W now since they added level 16 and they nerfed progression again so the game isnt even enjoyable since you can pay to steam roll everyone,1,2025-11-25 14:56:01,Play_Store_Updates,Google_Play
161,Used to be a really great game even when playing for free. It gets over monetized now but playing is still fun. Will give 3 stars.,3,2025-11-25 14:53:06,Play_Store_Updates,Google_Play
162,Jelek,1,2025-11-25 14:52:44,Play_Store_Updates,Google_Play
163,"I woke up to the new patch and it is horrible they traded in all my magical books and items for a low amount of gems as well as my wilds cards that I have been religiously saving, as a ftp uk how hard it is so get those items and progress in the game. I spoke to the support and they said they gave me the value of my items based on my level not on their actual value. how crazy do people who are lower level suffer because they don't pay for pass royal and spend major money on the game.",1,2025-11-25 14:48:55,Play_Store_Updates,Google_Play
164,"has slowly become a cash grab, feels bad to make progress knowing a future update may effectively remove it",1,2025-11-25 14:46:03,Play_Store_Updates,Google_Play
165,very not f2p u cant get anything unless you spend real money. economy is garbage and poorly managed,1,2025-11-25 14:44:58,Play_Store_Updates,Google_Play
166,nice megaknight,5,2025-11-25 14:43:32,Play_Store_Updates,Google_Play
167,Game crashes everytime I try to watch a replay. From the newest lvl 16 update.,1,2025-11-25 14:40:39,Play_Store_Updates,Google_Play
168,windows resoulution is odd,3,2025-11-25 14:40:21,Play_Store_Updates,Google_Play
169,new update sucks,1,2025-11-25 14:40:17,Play_Store_Updates,Google_Play
170,to pay to win it sucks the heroics are annoying and getting hit with evo mega knight is soul crushing,1,2025-11-25 14:38:40,Play_Store_Updates,Google_Play
171,breaking the game with a bad update again,1,2025-11-25 14:35:25,Play_Store_Updates,Google_Play
172,it is very good to play with friends and family,5,2025-11-25 14:35:04,Play_Store_Updates,Google_Play
173,"I give up after playing clash for 7 years, they've made it harder to level up cards, they add and take from players that saved up their resources, like chests,books,that magic coin.",1,2025-11-25 14:31:07,Play_Store_Updates,Google_Play
174,"dont play, you get addicted and then start losing at a high arena, fun game but its a huge ragebait",3,2025-11-25 14:30:15,Play_Store_Updates,Google_Play
175,"i thought it was p2w years ago but now its p2play even... crazy evos if you werebt already at max level its now imposibble to get there f2p bcs others will you with 2-3 levels higher cards and evos.. and now heros will finally kill the game for good i hope, or maybe they will finally do some balance changes",1,2025-11-25 14:28:51,Play_Store_Updates,Google_Play
176,Devs would rather Rocket cycle their house instead of stop removing f2p rewards and good features. Also good job with those incredibly balanced heros 👍,1,2025-11-25 14:28:51,Play_Store_Updates,Google_Play
177,why update? delete,3,2025-11-25 14:28:19,Play_Store_Updates,Google_Play
178,latest update sucks.,1,2025-11-25 14:28:01,Play_Store_Updates,Google_Play
179,Devs are on something,1,2025-11-25 14:27:19,Play_Store_Updates,Google_Play
180,I more win to get to a new arena and you decided to give me losing streak,2,2025-11-25 14:25:57,Play_Store_Updates,Google_Play
181,"worst update, pay to win game. clearly players didn't like the heroes update but supercell ignoring it and forcing updates to earn money. The rating shown is old players rating. The game is now 0 with stupid updates just to suck money from users.",1,2025-11-25 14:24:07,Play_Store_Updates,Google_Play
182,So bad👎👎👎👎,5,2025-11-25 14:21:05,Play_Store_Updates,Google_Play
183,Was playing on and off since 2018. The update with level 16 and hero cards absolutely destroyed the game. I am not coming back again after this.,1,2025-11-25 14:20:56,Play_Store_Updates,Google_Play
184,new update ruined the game,1,2025-11-25 14:18:53,Play_Store_Updates,Google_Play
185,Awesome,1,2025-11-25 14:18:05,Play_Store_Updates,Google_Play
186,بهترین بازی یه تاریخ,5,2025-11-25 14:14:39,Play_Store_Updates,Google_Play
187,"Pay to win, each update makes sure you keep spending else you'll lag behind in levels.",1,2025-11-25 14:13:21,Play_Store_Updates,Google_Play
188,Greedy,1,2025-11-25 14:12:37,Play_Store_Updates,Google_Play
189,last update just unlock levels by buying ... boring,3,2025-11-25 14:11:59,Play_Store_Updates,Google_Play
190,"Clash royale is greedy and they only want your money, they are nerfing progression with each update. Give me full value of 5 star lucky chest. cr is at it's lowest, reducing the progression and making the game pay2win",1,2025-11-25 14:10:23,Play_Store_Updates,Google_Play
191,Greedy company P2W garbage game.,1,2025-11-25 14:09:48,Play_Store_Updates,Google_Play
192,bring back all card classic,1,2025-11-25 14:09:17,Play_Store_Updates,Google_Play
193,"I am sad to say that I am now deleting Clash Royale after playing for 8 years because of the new update and the introduction of level 16. I am now comfortable leaving a 1 star review, and I think Supercell messed up bad this time. Do better, Supercell and I, as well as many others, might come back to this once great game.",1,2025-11-25 14:08:00,Play_Store_Updates,Google_Play
194,Ouu... really. In a words That game was so awesome 🤤 This game is really Royale.The game was deserve 5 star rating,5,2025-11-25 14:06:35,Play_Store_Updates,Google_Play
195,"BOOK OF CARD GW ILANG, harusnya gw pake biar langsung lv 14,malah ilang duluan, mana gada pemberitahuannya lagi, minim kirim email kocak, gantinya cuma permata itu aja GA SAMPE 50 GEM, ga worth it sumpah, P2W banget ni game, dh ni gw kasi bintang 5 moga aja bisa muncul paling atas",5,2025-11-25 14:04:59,Play_Store_Updates,Google_Play
196,vert good and addicting game👍👍👍👍,5,2025-11-25 14:03:37,Play_Store_Updates,Google_Play
197,damn pay to win,3,2025-11-25 13:59:58,Play_Store_Updates,Google_Play
198,The game used to be good now after the update I can't even play my screen is black I can here audio but I have to uninstall it and reinstall it just to see a update I hate,1,2025-11-25 13:57:24,Play_Store_Updates,Google_Play
199,"After over 9 years of this game, I've had enough. The devs care nothing more than what's in your wallet and will keep updating the game to make it more pay to win until you give in. Spending money is the only way to enjoy the game at higher levels, and if you don't, you'll have a miserable experience",1,2025-11-25 13:57:06,Play_Store_Updates,Google_Play
200,They actively make you regret installing this³. Great game if you hate yourself and have stockholm syndrom. ... (Also the number is the number of times I have come back to this review to increase it).,1,2025-11-25 13:54:14,Play_Store_Updates,Google_Play
201,best game,5,2025-11-25 13:51:56,Play_Store_Updates,Google_Play
202,simply unplayable if you dont spend some good money,1,2025-11-25 13:49:45,Play_Store_Updates,Google_Play
203,"Levels break the game, always get put against level 14 and 13 when I am level 11 and now they have added level 15 Edit now they added lvl 16 and it only got worse",1,2025-11-25 13:48:50,Play_Store_Updates,Google_Play
204,"always underlevel when playing ladder, feels like this game is design to punish u for not spending more.",5,2025-11-25 13:48:21,Play_Store_Updates,Google_Play
205,The Game is fun but explain this i am in arena 13 and i played against a guy that HAD A LEVEL 15 PRINCE that is not normal😭,4,2025-11-25 13:45:07,Play_Store_Updates,Google_Play
206,good game but too much p2w,1,2025-11-25 13:44:37,Play_Store_Updates,Google_Play
207,"Uninstalled, worst kind of update, thanks Supercell.",1,2025-11-25 13:43:58,Play_Store_Updates,Google_Play
208,bring back the chest shop,1,2025-11-25 13:41:21,Play_Store_Updates,Google_Play
209,👍,5,2025-11-25 13:40:23,Play_Store_Updates,Google_Play
